,Fecha,Humedad,Averias,EnergiaSolar,EnergiaEolica,LuzHabitacion1,LuzHabitacion2,LuzSalon,LuzCocina,LuzBaño1,LuzBaño2,LuzDespacho,LuzExterior,ConsumoAguaDucha1,ConsumoAguaDucha2,ConsumoAguaWC1,ConsumoAguaWC2,ConsumoAguaLavabo1,ConsumoAguaLavabo2,ConsumoAguaLavadora,ConsumoAguaLavavajillas,ConsumoAguaFregadero,ConsumoAguaExterior,ConsumoAguaBaño1,ConsumoAguaBaño2,ConsumoAguaCocina,GastoAguaTotal,ConsumoVitroceramica,ConsumoFrigorifico,ConsumoLavadora,ConsumoHorno,ConsumoTelevision,ConsumoMicroondas,ConsumoLavavajillas,GastoLuzTotal,Amanecer,Atardecer,DuracionDia,Precipitaciones,TemperaturaMax,TemperaturaMin,Viento,PresionMax,PresionMin,TempHabitacion1,TempHabitacion2,TempSalon,TempCocina,TempBaño1,TempBaño2,TempDespacho,VentanaHabitacion1,VentanaHabitacion2,VentanaSalon,VentanaCocina,VentanaBaño1,VentanaBaño2,VentanaDespacho,PersianaHabitacion1,PersianaHabitacion2,PersianaSalon,PersianaCocina,PersianaBaño1,PersianaBaño2,PersianaDespacho
0,2015-01-01 00:00:00,75,0,0.15,0.0,0.22,0.21,0.19,0.48,0.07,0.07,0.23,0.02,193,67,128,67,90,32,0,10.0,68,12,411,166,78.0,655.0,2.7,21.6,0.34,0.0,1.261,0.0,0.02,27.411,08:38:00,17:57:00,09:19:00,0.0,11.7,1.1,1.08,953.9,951.5,4,27,16,37,0,0,12,0,0,1,0,1,1,0,1,0,0,1,0,0,0
1,2015-01-01 01:00:00,73,0,0.26,0.0,0.3,0.17,0.26,0.45,0.08,0.06,0.2,0.02,111,55,138,64,86,25,50,6.5,31,24,335,144,87.5,566.5,1.6,21.7,0.42,0.02,0.11,0.5,0.369,26.259,08:38:00,17:57:00,09:19:00,0.0,11.7,1.1,1.08,953.9,951.5,7,8,6,27,0,0,2,1,1,0,0,1,1,0,1,1,1,1,1,1,1
2,2015-01-01 02:00:00,72,2,0.32,0.0,0.22,0.18,0.19,0.62,0.09,0.09,0.27,0.03,131,64,134,61,79,33,62,14.0,43,0,344,158,119.0,621.0,0.4,20.1,0.14,0.05,0.82,0.9,0.067,24.167,08:38:00,17:57:00,09:19:00,0.0,11.7,1.1,1.08,953.9,951.5,17,5,12,4,0,0,16,1,0,0,1,1,1,0,0,1,1,1,1,1,1
3,2015-01-01 03:00:00,75,0,0.24,0.0,0.21,0.24,0.29,0.6,0.07,0.09,0.18,0.03,192,61,132,63,53,35,42,0.0,13,12,377,159,55.0,591.0,0.0,21.2,0.33,0.63,1.172,0.4,0.312,25.753999999999998,08:38:00,17:57:00,09:19:00,0.0,11.7,1.1,1.08,953.9,951.5,18,23,16,37,0,0,3,0,1,0,0,0,1,0,0,0,0,1,1,0,0
4,2015-01-01 04:00:00,72,0,0.14,0.0,0.26,0.2,0.22,0.6,0.06,0.06,0.21,0.03,181,52,134,58,91,58,62,18.0,62,0,406,168,142.0,716.0,2.4,19.7,0.32,0.65,0.297,0.1,0.117,25.224,08:38:00,17:57:00,09:19:00,0.0,11.7,1.1,1.08,953.9,951.5,14,30,2,16,0,0,34,0,0,1,1,0,0,1,0,0,1,1,1,1,0
5,2015-01-01 05:00:00,74,1,0.17,0.0,0.28,0.22,0.28,0.47,0.07,0.08,0.18,0.03,132,56,130,68,54,56,0,10.0,72,24,316,180,82.0,578.0,2.5,20.8,0.83,0.06,0.47,2.0,0.204,28.473999999999997,08:38:00,17:57:00,09:19:00,0.0,11.7,1.1,1.08,953.9,951.5,8,10,16,20,0,0,28,0,0,1,1,0,1,0,0,0,0,0,0,0,1
6,2015-01-01 06:00:00,75,0,0.17,0.0,0.3,0.14,0.27,0.38,0.06,0.07,0.28,0.03,169,72,124,64,60,41,50,6.5,100,0,353,177,156.5,686.5,3.1,18.4,0.59,0.24,0.701,1.2,0.322,26.082999999999995,08:38:00,17:57:00,09:19:00,0.0,11.7,1.1,1.08,953.9,951.5,39,5,27,16,0,0,21,0,0,1,0,0,0,1,1,0,0,1,0,0,1
7,2015-01-01 07:00:00,71,0,0.12,0.0,0.24,0.17,0.25,0.46,0.08,0.06,0.29,0.03,186,87,121,65,51,57,42,0.0,118,12,358,209,160.0,727.0,3.7,21.7,0.63,0.46,0.469,1.1,0.039,29.678000000000004,08:38:00,17:57:00,09:19:00,0.0,11.7,1.1,1.08,953.9,951.5,1,32,34,3,0,0,34,0,0,1,1,0,0,0,0,0,0,0,1,0,1
8,2015-01-01 08:00:00,75,1,0.19,0.0,0.19,0.24,0.19,0.37,0.06,0.08,0.22,0.03,103,90,121,58,71,41,42,10.0,80,12,295,189,132.0,616.0,1.1,21.5,0.8,0.45,1.089,1.1,0.428,27.847,08:38:00,17:57:00,09:19:00,0.0,11.7,1.1,1.08,953.9,951.5,13,18,15,8,0,0,22,1,1,0,0,0,0,1,0,1,0,0,1,0,0
9,2015-01-01 09:00:00,74,0,0.32,0.0,0.31,0.17,0.3,0.5,0.08,0.08,0.22,0.02,109,67,115,60,72,26,42,10.0,90,12,296,153,142.0,591.0,2.3,21.9,0.98,0.1,0.5,1.4,0.106,28.966,08:38:00,17:57:00,09:19:00,0.0,11.7,1.1,1.08,953.9,951.5,3,9,11,10,0,0,9,0,0,1,0,1,0,0,1,0,1,0,0,0,0
